bigg_rxn_id,biocyc_rxn_id,parent_node,parent_node_type,parent_node_subtype,parent_node_biocyc_id,child_node,child_node_type,child_node_subtype,child_node_biocyc_id,edge_weight,edge_source,edge_type,putative,edge_notes,edge_ref,putative_removal,putative_removal_notes
FBP,F16BDEPHOS-RXN,bigg:FBP,reaction,NA,F16BDEPHOS-RXN,ALKAPHOSPHA-CPLX,protein,multimeric_protein,ALKAPHOSPHA-CPLX,NA,biocyc,secondary_catalysis,FALSE,"phoA is a periplasmic alkaline phosphatase with broad specificity (Ecocyc). Since this is a periplasmic protein and since a fbp deletion strain was reported unable to grow on gluconeogic substrates, this edge is marked as secondary catalysis.",,,
PGM,RXN-15513,bigg:PGM,reaction,NA,RXN-15513,PGMI-MONOMER,protein,polypeptide,PGMI-MONOMER,NA,iml1515,secondary_catalysis,FALSE,"this cofactor-independent phosphoglycerate mutase, GpmM, possesses considerably lower activity than the dependent counterpart (GpmA)                                                                                                                                                                                                                                                                                                                                                                                ",PMID:10437801;PMID:21187861,yes,deletion of primary enzyme (GpmA) is only resques from medium-copy overexpression of this secondary enzyme from a plasmid
PFL,PYRUVFORMLY-RXN,bigg:PFL,reaction,NA,PYRUVFORMLY-RXN,PYRUVFORMLY-CPLX,protein,modified_protein,PYRUVFORMLY-CPLX,NA,biocyc,catalysis,FALSE,,,,
PFL,PYRUVFORMLY-RXN,PYRUVFORMLY-CPLX,protein,modified_protein,PYRUVFORMLY-CPLX,PYRUVFORMLY-INACTIVE-CPLX,protein,multimeric_protein,PYRUVFORMLY-INACTIVE-CPLX,NA,biocyc,protein_modification,FALSE,,,,
PFL,PYRUVFORMLY-RXN,PYRUVFORMLY-CPLX,protein,modified_protein,PYRUVFORMLY-CPLX,PFLACTENZ-MONOMER,protein,polypeptide,PFLACTENZ-MONOMER,NA,biocyc,protein_modification_requirement,FALSE,"pyruvate formate-lyase activating enzyme (PflA, PFL-AE) activates pyruvate formate-lyase by generating an essential glycyl radical within the enzyme (source: EcoCyc page for pflA). pyruvate formate-lyase activating enzyme 2 (pflC) is a putative homolog of pflA                                                                                                                                                                                                                                                ",,,
PFL,PYRUVFORMLY-RXN,bigg:PFL,reaction,reaction,PYRUVFORMLY-RXN,KETOBUTFORMLY-MONOMER,protein,polypeptide,KETOBUTFORMLY-MONOMER,NA,biocyc,secondary_catalysis,FALSE,Tdce was identified as having both 2-oxobutanoate formate-lyase and pyruvate formate-lyase activities and is activated by pflA. Expression from a plasmid could partially complement growth defects under anaerobic growth in a pflA mutant,PMID:9484901;PMID:9657990,,
PFL,PYRUVFORMLY-RXN,KETOBUTFORMLY-MONOMER,protein,modified_protein,KETOBUTFORMLY-MONOMER,KETOBUTFORMLY-INACT-MONOMER,protein,polypeptide,KETOBUTFORMLY-INACT-MONOMER,NA,biocyc,protein_modification,FALSE,Tdce was identified as having both 2-oxobutanoate formate-lyase and pyruvate formate-lyase activities and is activated by pflA. Expression from a plasmid could partially complement growth defects under anaerobic growth in a pflA mutant,PMID:9484901;PMID:9657991,,
PFL,PYRUVFORMLY-RXN,KETOBUTFORMLY-MONOMER,protein,modified_protein,KETOBUTFORMLY-MONOMER,PFLACTENZ-MONOMER,protein,polypeptide,PFLACTENZ-MONOMER,NA,biocyc,protein_modification_requirement,FALSE,"pyruvate formate-lyase activating enzyme (PflA, PFL-AE) activates pyruvate formate-lyase by generating an essential glycyl radical within the enzyme (source: EcoCyc page for pflA)                                                                                                                                                                                                                                                                                                                                 ",,,
PFL,PYRUVFORMLY-RXN,bigg:PFL,reaction,reaction,PYRUVFORMLY-RXN,CPLX0-9871,protein,multimeric_protein,CPLX0-9871,NA,biocyc,secondary_catalysis,FALSE,from Ecocyc: GrcA is a small (14 kDa) glycyl radical enzyme (GRE) that can restore activity of oxygen-damaged pyruvate formate-lyase (PFL). ,ecocyc page for the gene,,
PFL,PYRUVFORMLY-RXN,CPLX0-9871,protein,multimeric_protein,CPLX0-9871,PYRUVFORMLY-CPLX,protein,modified_protein,PYRUVFORMLY-CPLX,1,biocyc,subunit_composition,FALSE,,,,
PFL,PYRUVFORMLY-RXN,CPLX0-9871,protein,multimeric_protein,CPLX0-9871,EG11784-MONOMER,protein,polypeptide,EG11784-MONOMER,1,biocyc,subunit_composition,FALSE,,,,
PFL,PYRUVFORMLY-RXN,CPLX0-9871,protein,multimeric_protein,CPLX0-9871,PFLACTENZ-MONOMER,protein,polypeptide,PFLACTENZ-MONOMER,NA,biocyc,protein_modification_requirement,FALSE,,,,
PFL,PYRUVFORMLY-RXN,bigg:PFL,reaction,reaction,PYRUVFORMLY-RXN,EG11910-MONOMER,protein,polypeptide,EG11910-MONOMER,NA,iml1515,putative_gpr,TRUE,"PflD was identified by sequence similarity as a homolog of pyruvate formate-lyase in PMID:7773398. However, its role as a PFL remains putative. Additionally, in PMID:14673546, pflA and pflB knockout suppressed almost entirely PFL activity.                                                                                                                                                                                                                                                                     ",PMID:7773398;PMID:14673546,,
PFL,PYRUVFORMLY-RXN,bigg:PFL,reaction,reaction,PYRUVFORMLY-RXN,EG11911-MONOMER,protein,polypeptide,EG11911-MONOMER,NA,iml1515,putative_gpr,TRUE,"PflC was identified by sequence similarity as a homolog of pyruvate formate-lyase activating enzyme in PMID:7773398. However, its role as a PFL remains putative. Additionally, in PMID:14673546, pflA and pflB knockout suppressed almost entirely PFL activity.                                                                                                                                                                                                                                                   ",PMID:7773398,,
ACKr,ACETATEKIN-RXN,bigg:ACKr,reaction,reaction,ACETATEKIN-RXN,GARTRANSFORMYL2-MONOMER,protein,polypeptide,GARTRANSFORMYL2-MONOMER,NA,biocyc,secondary_catalysis,FALSE,"purT is a phosphoribosylglycinamide (GAR) transformylase, but possesses some acetate kinase activity. Reported activity as an acetate kinase is significantly lower compared to turnovers reported in BRENDA for the main acetate kinase ackA                                                                                                                                                                                                                                                                       ",PMID:8117714,,
ACKr,ACETATEKIN-RXN,bigg:ACKr,reaction,reaction,ACETATEKIN-RXN,PROPKIN-MONOMER,protein,polypeptide,PROPKIN-MONOMER,NA,iml1515,secondary_catalysis,FALSE,"tcdD is a proprionate kinase with acetate kinase secondary activity. In ackA (the primary acetate kinase) KO strains, overexpression of tdcD from a plasmid partially restore growth rate.                                                                                                                                                                                                                                                                                                                          ",PMID:9484901,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,SUCCORNTRANSAM-CPLX,protein,multimeric_protein,SUCCORNTRANSAM-CPLX,NA,iml1515,secondary_catalysis,FALSE,"astC can carry SDPTA activity and can support production of SDAP in strain with argD and serC simultaneous knockouts. However, its SDPA activity is not sufficent to also sustain lysine production in the the same mutant.                                                                                                                                                                                                                                                                                         ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,ASPAMINOTRANS-DIMER,protein,multimeric_protein,ASPAMINOTRANS-DIMER,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,GABATRANSAM-CPLX,protein,multimeric_protein,GABATRANSAM-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,HISTPHOSTRANS-CPLX,protein,multimeric_protein,HISTPHOSTRANS-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,BRANCHED-CHAINAMINOTRANSFER-CPLX,protein,multimeric_protein,BRANCHED-CHAINAMINOTRANSFER-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,CPLX0-8159,protein,multimeric_protein,CPLX0-8159,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,G6646-MONOMER,protein,polypeptide,G6646-MONOMER,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
SDPTA,SUCCINYLDIAMINOPIMTRANS-RXN,bigg:SDPTA,reaction,reaction,SUCCINYLDIAMINOPIMTRANS-RXN,TYRB-DIMER,protein,multimeric_protein,TYRB-DIMER,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases aspC, gabT, hisC, ilvE, patA, puuE, tyrB were all reported to have promiscuous activity as SDPTA. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple argD, serC, astC KO mutant, lacking the three main SDP-Transaminases.                                                                                                                                                                                                               ",PMID:25243376,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,ACETYLORNTRANSAM-CPLX,protein,multimeric_protein,ACETYLORNTRANSAM-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243376;PMID: 20729367,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,ASPAMINOTRANS-DIMER,protein,multimeric_protein,ASPAMINOTRANS-DIMER,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729368,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,SUCCORNTRANSAM-CPLX,protein,multimeric_protein,SUCCORNTRANSAM-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729369,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,GABATRANSAM-CPLX,protein,multimeric_protein,GABATRANSAM-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729370,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,CPLX0-8159,protein,multimeric_protein,CPLX0-8159,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729371,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,G6646-MONOMER,protein,polypeptide,G6646-MONOMER,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729372,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,PSERTRANSAM-CPLX,protein,multimeric_protein,PSERTRANSAM-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729373,,
ALATA_L,ALANINE-AMINOTRANSFERASE-RXN,bigg:ALATA_L,reaction,reaction,ALANINE-AMINOTRANSFERASE-RXN,TYRB-DIMER,protein,multimeric_protein,TYRB-DIMER,NA,iml1515,secondary_catalysis,FALSE,"the aminotransferases argD, aspC, astC, gabT, patA, puuE, serC, tyrB were all reported to have promiscuous activity as as transaminases for the formation of alanine. When individually  expressed from a plasmid, each of these transaminase could rescue growth in a triple alaA, alaC, avtA KO mutant, lacking the three alanine-producing transaminases. Since all of these transaminases use glutamate as a nitrogen donor in their primary catalysis function, we assign their promiscuous activity to ALATA_L ",PMID:25243382;PMID: 20729374,,
ACOTA,ACETYLORNTRANSAM-RXN,bigg:ACOTA,reaction,reaction,ACETYLORNTRANSAM-RXN,G6646-MONOMER,protein,polypeptide,G6646-MONOMER,NA,manual_curation,secondary_catalysis,FALSE,"puuE was identified to have some, albeit small, promiscuous activity as an ACOAT. Note, however, that that a argD, astC, gabT mutatnt could not growth in minimal medium unless putrescine (which cannot be converted to ornithine or arginine) was supplemented to activate puuE expression                                                                                                                                                                                                                        ",PMID:25243382,yes,puuE requires derepression with putrescine
ACOTA,ACETYLORNTRANSAM-RXN,bigg:ACOTA,reaction,reaction,ACETYLORNTRANSAM-RXN,SUCCORNTRANSAM-CPLX,protein,multimeric_protein,SUCCORNTRANSAM-CPLX,NA,manual_curation,secondary_catalysis,FALSE,"astC can carry ACOAT activity. However a delta_astC mutant showes no growth defects, while a delta_argD mutatent showed slower growth and and grew to only 45% of the wild-type final cell density (both recovered by addition of arginine). This suggest a secondary catalysis role for astC in this reacrion",PMID:25243383,,
ATPS4rpp,ATPSYN-RXN,ATPSYN-CPLX,protein,multimeric_protein,ATPSYN-CPLX,EG10106-MONOMER,protein,polypeptide,EG10106-MONOMER,1,iml1515,accessory_component,FALSE,atp codes for a non-essential ATP synthase accessory factor,ecocyc page for the gene,,
GLCtex_copy1,RXN0-2481,bigg:GLCtex_copy1,reaction,reaction,RXN0-2481,CPLX0-7655,protein,multimeric_protein,CPLX0-7655,NA,iml1515,catalysis,FALSE,outer membrane porin lamB has a sugar-binding site for maltooligosaccharides and also has an affinity to glucose,PMID:31900563,,
RIBabcpp,ABC-28-RXN,bigg:RIBabcpp,reaction,reaction,ABC-28-RXN,ABC-42-CPLX,protein,multimeric_protein,ABC-42-CPLX,NA,iml1515,secondary_catalysis,FALSE,"the D-allose ABC-type transporter was reporter to be promiscouous, albeit with low affinity, for ribose tranport                                                                                                                                                                                                                                                                                                                                                                                                    ",PMID:9401019,,
RIBabcpp,ABC-28-RXN,bigg:RIBabcpp,reaction,reaction,ABC-28-RXN,ABC-46-CPLX,protein,multimeric_protein,ABC-46-CPLX,NA,iml1516,secondary_catalysis,FALSE,"the periplasmic binding protein ytfQ was reported to bind arabinose, allose, Ribose and others, in addition to its primary substrate galactofuranose                                                                                                                                                                                                                                                                                                                                                                ",PMID:19744923,,
RIBabcpp,ABC-28-RXN,bigg:RIBabcpp,reaction,reaction,ABC-28-CPLX,CPLX0-7646,protein,multimeric_protein,CPLX0-7646,NA,iml1515,non_catalytic_requirement,FALSE,ribsD encodes a pyranase converting between pyranose and furanose forms of D-Ribose and has been reported to be be important in utilisation of robose as a carbon source. ribsD mutant showed impaired fitness in growth on Ribose.,PMID:29769716,,
GLCptspp,TRANS-RXN-157,bigg:GLCptspp,reaction,reaction,TRANS-RXN-157,CPLX-154,protein,multimeric_protein,CPLX-154,NA,biocyc,secondary_catalysis,FALSE,"while encoding A  PTS Glucose-Glucoside transporter that can transport and phosphorilate glucose in the cytoplasm,  bglF is normally silent in ecoli                                                                                                                                                                                                                                                                                                                                                                ",PMID:2199437;PMID:7781607,,
GLCptspp,TRANS-RXN-158,bigg:GLCptspp,reaction,reaction,TRANS-RXN-158,CPLX0-7938,protein,multimeric_protein,CPLX0-7938,NA,iml1515,non_catalytic_requirement,FALSE,"PTS Enzyme I, together with phosphocarrying protein Hpr, are involved in the suger-unspecific part of the PTS transport system, collectively transfering a phosphoryl group from PEP to the sugar-specxific PTS enzymes                                                                                                                                                                                                                                                                                             ",ecocyc page for the gene,,
